name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Hotel,Bar,Food,Attraction,Shopping,McDonald's,Albert Heijn,Closed,Area,Picture Spot
Vliger,52.36698945,4.895321787,http://www.vliegerpapier.nl/,,,n,,n,n,n,n,n,y,n,n,n,n,n
Vondelkerk,52.36130667,4.873712408,https://en.wikipedia.org/wiki/Vondelkerk,,,n,,n,n,n,n,y,n,n,n,n,n,n
Vondelpark,52.36040251,4.875429022,https://en.wikipedia.org/wiki/Vondelpark,,,n,,n,n,n,n,y,n,n,n,n,n,n
Walking Tour,52.37265,4.89362,https://freewalkingtoursamsterdam.com/dark-side-tour/,,,n,,n,n,n,n,y,n,n,n,n,n,n
Westerkerk,52.37454,4.88343,https://en.wikipedia.org/wiki/Westerkerk,,,n,,n,n,n,n,y,n,n,n,n,n,n
Westerpark,52.38710542,4.872196546,https://en.wikipedia.org/wiki/Westerpark_(park),,,n,,n,n,n,n,y,n,n,n,n,n,n
Winkel 43,52.37906,4.88634,https://winkel43.nl/en/,,,n,,n,n,n,y,n,n,n,n,n,n,n
1e Hulp,52.37168,4.87595,https://www.coffeeshopmenus.org/cs-1e-hulp.html,cs-1e-hulp,1e_hulp.png,y,5,y,n,n,n,n,n,n,n,n,n,n
420 Cafe (de Kuil),52.37597222,4.89588642,https://www.coffeeshopmenus.org/cs-420-cafe.html,cs-420-cafe,420_cafe_de_kuil.png,n,,y,n,n,n,n,n,n,n,n,n,n
7th Heaven,52.38147,4.88623,https://www.coffeeshopmenus.org/cs-7thheaven.html,cs-7thheaven,7th_heaven.png,n,,y,n,n,n,n,n,n,n,n,n,n
Abraxas,52.37204,4.89125,https://www.coffeeshopmenus.org/cs-abraxas.html,cs-abraxas,abraxas.png,y,5,y,n,n,n,n,n,n,n,n,n,n
African Blackstar,52.37377,4.88255,https://www.coffeeshopmenus.org/cs-black-star.html,cs-black-star,blackstar.png,n,,y,n,n,n,n,n,n,n,n,n,n
Aktama 2,52.36963,4.85235,https://www.coffeeshopmenus.org/cs-aktama2.html,cs-aktama2,aktama_2.png,n,,y,n,n,n,n,n,n,n,n,n,n
Amnesia,52.37561,4.88902,https://www.coffeeshopmenus.org/cs-amnesia.html,cs-amnesia,amnesia.png,n,,y,n,n,n,n,n,n,n,n,n,n
Atlas,52.3982,4.94153,https://www.coffeeshopmenus.org/cs-atlas-ams.html,cs-atlas-ams,atlas.png,n,,y,n,n,n,n,n,n,n,n,n,n
Babylon,52.37478,4.8965,https://www.coffeeshopmenus.org/cs-babylon.html,cs-babylon,babylon.png,n,,y,n,n,n,n,n,n,n,n,n,n
Bagheera,52.37004,4.89747,https://www.coffeeshopmenus.org/cs-bagheera.html,cs-bagheera,bagheera.png,y,4,y,n,n,n,n,n,n,n,n,n,n
Balboa,52.36684,4.8958,https://www.coffeeshopmenus.org/cs-balboa-family.html,cs-balboa-family,balboa_family.png,n,,y,n,n,n,n,n,n,n,n,n,n
Balou,52.36676,4.89581,https://www.coffeeshopmenus.org/cs-balou.html,cs-balou,balou.png,y,4,y,n,n,n,n,n,n,n,n,n,n
Barney's,52.3806,4.89101,https://www.coffeeshopmenus.org/cs-barneys.html,cs-barneys,barneys_farm.png,y,4,y,n,n,n,n,n,n,n,n,n,n
Barraka,52.37428,4.8926,https://www.coffeeshopmenus.org/cs-barraka.html,cs-barraka,barraka.png,n,,y,n,n,n,n,n,n,n,n,n,n
Bas Joe,52.37,4.89749,https://www.coffeeshopmenus.org/cs-basjoe.html,cs-basjoe,basjoe.png,y,3,y,n,n,n,n,n,n,n,n,n,n
Best Friends,52.36509,4.93965,https://www.coffeeshopmenus.org/cs-best-friends-oost.html,cs-best-friends-oost,best_friends_centrum.png,n,,y,n,n,n,n,n,n,n,n,n,n
Bij,52.36211,4.85548,https://www.coffeeshopmenus.org/cs-bij.html,cs-bij,bij.png,n,,y,n,n,n,n,n,n,n,n,n,n
